time,x,y,S1,S2,S3,S4
0.0,0.0,0.0,0.288089,-0.390111,0.321415,-0.224768
0.0,0.1,0.0,0.224911,-0.303856,0.249961,-0.174079
0.0,0.2,0.0,0.176631,-0.236741,0.19371,-0.132965
0.0,0.3,0.0,0.140327,-0.18456,0.149055,-0.098645
0.0,0.4,0.0,0.112788,-0.14397,0.113797,-0.070612
0.0,0.5,0.0,0.090505,-0.112302,0.086884,-0.050264
0.0,0.6,0.0,0.071112,-0.087503,0.067256,-0.038034
0.0,0.7,0.0,0.054356,-0.068079,0.053049,-0.031441
0.0,0.8,0.0,0.040964,-0.052928,0.042209,-0.026914
0.0,0.9,0.0,0.031025,-0.041162,0.033445,-0.022518
0.0,1.0,0.0,0.023803,-0.032033,0.026282,-0.018175
0.0,0.0,0.1,0.288599,-0.390145,0.321083,-0.223864
0.0,0.1,0.1,0.226953,-0.303992,0.248628,-0.170456
0.0,0.2,0.1,0.182647,-0.237144,0.189781,-0.122292
0.0,0.3,0.1,0.153341,-0.185431,0.140555,-0.075556
0.0,0.4,0.1,0.133464,-0.145355,0.100293,-0.033929
0.0,0.5,0.1,0.114631,-0.113918,0.071127,-0.00746
0.0,0.6,0.1,0.091788,-0.088888,0.053752,-0.001351
0.0,0.7,0.1,0.06737,-0.068951,0.04455,-0.008352
0.0,0.8,0.1,0.04698,-0.053331,0.03828,-0.016241
0.0,0.9,0.1,0.033068,-0.041298,0.032111,-0.018895
0.0,1.0,0.1,0.024312,-0.032067,0.025949,-0.017271
0.0,0.0,0.2,0.289918,-0.390234,0.320221,-0.221523
0.0,0.1,0.2,0.232247,-0.304347,0.24517,-0.161064
0.0,0.2,0.2,0.198238,-0.238189,0.179598,-0.094631
0.0,0.3,0.2,0.187068,-0.187691,0.118527,-0.015718
0.0,0.4,0.2,0.18705,-0.148944,0.065296,0.06114
0.0,0.5,0.2,0.177158,-0.118107,0.03029,0.103473
0.0,0.6,0.2,0.145374,-0.092478,0.018755,0.093718
0.0,0.7,0.2,0.101098,-0.07121,0.022522,0.051486
0.0,0.8,0.2,0.062571,-0.054376,0.028097,0.011421
0.0,0.9,0.2,0.038361,-0.041653,0.028654,-0.009503
0.0,1.0,0.2,0.025632,-0.032155,0.025087,-0.014929
0.0,0.0,0.3,0.292243,-0.390389,0.318702,-0.217398
0.0,0.1,0.3,0.241569,-0.304971,0.239082,-0.144525
